"Enabled","Включено"
"Title","Заголовок"
"Mode","Режим"
"Merchant Login","Идентификатор магазина"
"Test Merchant Login","Тестовый идентификатор магазина"
"Password #1","Пароль #1"
"Test Password #1","Тестовый пароль #1"
"Password #2","Пароль #2"
"Test Password #2","Тестовый пароль #2"
"New Order Status","Новый статус заказа"
"Sort Order","Порядок сортировки"
"Live","Боевой"
"Test","Тестовый"
"Description","Описание"
"Russian","Русский"
"English","Английский"
"Determines what language the Robokassa page will be in","Определяет на каком языке будет страница Robokassa"
"Without VAT","Без НДС"
"VAT at 0%","НДС по ставке 0%"
"VAT check at a rate of 10%","НДС чека по ставке 10%"
"VAT check at the estimated rate 10/110","НДС чека по расчетной ставке 10/110"
"VAT check at a rate of 20%","НДС чека по ставке 20%"
"VAT check at the estimated rate of 20/120","НДС чека по расчетной ставке 20/120"
"Total CH","Общая СН"
"Simplified CH (income)","Упрощенная СН (доходы)"
"Simplified ST (income minus expenses)","Упрощенная СН (доходы минус расходы)"
"Single agricultural tax","Единый сельскохозяйственный налог"
"Patent CH","Патентная СН"
"Tax Robokassa","Налоговая ставка Robokassa"
"Taxation system","Система налогообложения"
"Payment Method","Признак способа расчёта"
"Prepayment 100%","Предоплата 100%"
"Prepayment","Предоплата"
"Advance","Аванс"
"Full payment","Полный расчёт"
"Partial payment and credit","Частичный расчёт и кредит"
"Transfer on credit","Передача в кредит"
"Credit payment","Оплата кредита"
"Don't use option","Не использовать параметр"
"Fiscalization","Фискализация"
"Payment from Applicable Countries","Оплата из соответствующих стран"
"Payment from Specific Countries","Оплата из определенных стран"
"Culture","Язык"
"Optional parameter","Не обязательный параметр"
"Payment Object","Признак предмета расчёта"
"Commodity","Товар"
"Excise","Подакцизный товар"
"Job","Работа"
"Service","Услуга"
"Gambling bet","Ставка азартной игры"
"Gambling prize","Выигрыш азартной игры"
"Lottery","Лотерейный билет"
"Lottery Prize","Выигрыш лотереи"
"Intellectual Activity","Предоставление результатов интеллектуальной деятельности"
"Payment","Платеж"
"Agent Commission","Агентское вознаграждение"
"Composite","Составной предмет расчета"
"Resort Fee","Курортный сбор"
"Another","Иной предмет расчета"
"Property Right","Имущественное право"
"Non-operating Gain","Внереализационный доход"
"Insurance Premium","Страховые взносы"
"Sales Tax","Торговый сбор"
"Data hashing algorithm","Алгоритм хеширования данных"
